月,チャネル,広告費,インプレッション数,クリック数,CV数,売上,ROAS,CVR(%),CPA
2024年01月,Google広告,230966,14453,490,9,1320416,5.72,1.98,25662
2024年01月,Meta広告,179359,9968,339,6,500847,2.79,2.02,29893
2024年01月,楽天広告,136988,7833,144,3,878056,6.41,2.43,45662
2024年01月,LINE広告,108602,8437,230,2,239615,2.21,1.05,54301
2024年01月,TikTok広告,82684,8812,217,1,129598,1.57,0.78,82684
2024年02月,Google広告,265743,20902,704,12,999964,3.76,1.82,22145
2024年02月,Meta広告,202323,33857,1623,37,604504,2.99,2.3,5468
2024年02月,楽天広告,183543,28389,1060,30,850636,4.63,2.89,6118
2024年02月,LINE広告,114904,20831,965,9,309343,2.69,1.03,12767
2024年02月,TikTok広告,96485,7537,240,1,196844,2.04,0.65,96485
2024年03月,Google広告,462917,24246,1110,29,2525059,5.45,2.65,15962
2024年03月,Meta広告,351633,44287,522,8,966441,2.75,1.61,43954
2024年03月,楽天広告,277076,15895,385,10,1317839,4.76,2.61,27707
2024年03月,LINE広告,230361,13524,175,2,527010,2.29,1.55,115180
2024年03月,TikTok広告,185966,36587,1559,14,402962,2.17,0.9,13283
2024年04月,Google広告,340234,55678,1355,26,1889216,5.55,1.92,13085
2024年04月,Meta広告,260929,26188,328,5,1002258,3.84,1.6,52185
2024年04月,楽天広告,219382,15063,685,20,1444744,6.59,2.95,10969
2024年04月,LINE広告,167392,10199,330,4,594613,3.55,1.4,41848
2024年04月,TikTok広告,151804,13300,146,1,468047,3.08,0.61,151804
2024年05月,Google広告,279081,28725,871,27,1470648,5.27,3.11,10336
2024年05月,Meta広告,213248,13056,250,3,707244,3.32,1.34,71082
2024年05月,楽天広告,227767,12022,508,16,1102886,4.84,3.24,14235
2024年05月,LINE広告,226814,29084,1329,16,912004,4.02,1.23,14175
2024年05月,TikTok広告,191032,19552,281,1,827040,4.33,0.67,191032
2024年06月,Google広告,323981,18088,185,4,1916791,5.92,2.52,80995
2024年06月,Meta広告,220381,32418,761,17,630770,2.86,2.28,12963
2024年06月,楽天広告,241717,15549,381,14,1559885,6.45,3.85,17265
2024年06月,LINE広告,250976,20144,443,4,784613,3.13,1.05,62744
2024年06月,TikTok広告,173191,13810,166,1,742497,4.29,0.69,173191
2024年07月,Google広告,492996,68725,2032,65,2107968,4.28,3.23,7584
2024年07月,Meta広告,265620,16172,315,6,986477,3.71,2.05,44270
2024年07月,楽天広告,334604,23071,725,16,2419985,7.23,2.26,20912
2024年07月,LINE広告,340567,43674,507,6,1205806,3.54,1.27,56761
2024年07月,TikTok広告,316715,24974,476,4,1040195,3.28,0.87,79178
2024年08月,Google広告,248752,23030,1093,21,1433127,5.76,1.96,11845
2024年08月,Meta広告,165346,8762,395,6,418956,2.53,1.54,27557
2024年08月,楽天広告,235941,17702,552,13,1975909,8.37,2.54,18149
2024年08月,LINE広告,180554,9756,344,3,957964,5.31,1.08,60184
2024年08月,TikTok広告,203175,11008,500,4,1227440,6.04,0.93,50793
2024年09月,Google広告,366474,49360,2267,60,1450101,3.96,2.66,6107
2024年09月,Meta広告,181373,12129,123,1,446151,2.46,1.43,181373
2024年09月,楽天広告,299811,20285,384,12,2469791,8.24,3.38,24984
2024年09月,LINE広告,255754,15789,568,8,1059477,4.14,1.45,31969
2024年09月,TikTok広告,320366,50017,1235,8,2040345,6.37,0.69,40045
2024年10月,Google広告,330991,30375,1387,37,2285229,6.9,2.7,8945
2024年10月,Meta広告,226871,16616,493,7,719919,3.17,1.47,32410
2024年10月,楽天広告,330971,61693,2209,53,2229539,6.74,2.42,6244
2024年10月,LINE広告,339472,18131,449,3,2158573,6.36,0.85,113157
2024年10月,TikTok広告,396990,20358,988,9,2672769,6.73,0.97,44110
2024年11月,Google広告,343147,19313,437,8,1752554,5.11,2.0,42893
2024年11月,Meta広告,207749,13454,441,6,813836,3.92,1.36,34624
2024年11月,楽天広告,337019,47459,1458,53,3551914,10.54,3.68,6358
2024年11月,LINE広告,347229,22348,544,5,2095640,6.04,1.05,69445
2024年11月,TikTok広告,442101,24552,1142,9,4242672,9.6,0.81,49122
2024年12月,Google広告,485136,32891,1252,36,3200245,6.6,2.94,13476
2024年12月,Meta広告,290685,27336,376,7,798515,2.75,1.88,41526
2024年12月,楽天広告,382779,29131,625,19,3205842,8.38,3.16,20146
2024年12月,LINE広告,390629,22528,549,5,1644935,4.21,0.93,78125
2024年12月,TikTok広告,608846,73913,2580,15,6582916,10.81,0.6,40589
