年月,チャネル,広告費,インプレッション,クリック,CV数,売上,ROAS,CPA
2025-04,Google,2361317,47226340,782825,46624,394625536,167.12,51.0
2025-04,Yahoo,584179,15772833,400131,29249,153703495,263.11,20.0
2025-04,Meta,894718,23262668,606988,17161,275279601,307.67,52.0
2025-04,TikTok,945544,17019792,344847,20775,118874550,125.72,46.0
2025-04,LINE,2653883,31846596,787760,44180,358564880,135.11,60.0
2025-05,Google,837850,18432700,384447,19906,374869792,447.42,42.0
2025-05,Yahoo,554645,5546450,128165,5780,63077140,113.73,96.0
2025-05,Meta,613693,11660167,321679,15846,207344910,337.86,39.0
2025-05,TikTok,2295962,41327316,816659,23919,403752720,175.85,96.0
2025-05,LINE,1199438,11994380,257072,19067,338420183,282.15,63.0
2025-06,Google,1292135,19382025,565306,14620,256697960,198.66,88.0
2025-06,Yahoo,2526157,25261570,679294,37321,597509210,236.53,68.0
2025-06,Meta,1046363,11509993,299205,12185,134534585,128.57,86.0
2025-06,TikTok,1608198,27339366,648902,39228,327514572,203.65,41.0
2025-06,LINE,786172,7861720,163924,12901,127694098,162.43,61.0
2025-07,Google,2149258,25791096,746415,37539,586884726,273.06,57.0
2025-07,Yahoo,541722,11917884,218843,11554,86701216,160.05,47.0
2025-07,Meta,755416,19640816,372840,17302,116511668,154.24,44.0
2025-07,TikTok,2701849,56738829,1306328,86319,580149999,214.72,31.0
2025-07,LINE,1527691,32081511,695436,29408,395361152,258.8,52.0
2025-08,Google,2453923,71163767,1001324,29383,300529324,122.47,84.0
2025-08,Yahoo,1058114,29627192,540455,11963,157660377,149.0,88.0
2025-08,Meta,2460178,41823026,1222086,25400,270764000,110.06,97.0
2025-08,TikTok,2407798,65010546,1704226,130936,677462864,281.36,18.0
2025-08,LINE,2987811,32865921,351179,10613,200097502,66.97,282.0
2025-09,Google,1070953,29986684,725637,37750,400301000,373.78,28.0
2025-09,Yahoo,949110,27524190,825119,65376,1057979808,1114.71,15.0
2025-09,Meta,1053360,28440720,617440,24042,389985282,370.23,44.0
2025-09,TikTok,1761668,28186688,387881,17718,130103274,73.85,99.0
2025-09,LINE,1076395,11840345,121261,6200,52923200,49.17,174.0
2025-10,Google,1465721,17588652,198104,14820,276289260,188.5,99.0
2025-10,Yahoo,1184770,30804020,879701,61317,1191818529,1005.95,19.0
2025-10,Meta,1188235,16635290,467775,33592,377204568,317.45,35.0
2025-10,TikTok,2276349,45526980,1114118,76159,541262013,237.78,30.0
2025-10,LINE,2313985,57849625,1072059,78632,1435427160,620.33,29.0
2025-11,Google,2174214,21742140,231171,8208,69267312,31.86,265.0
2025-11,Yahoo,2291267,59572942,1409170,87432,871784472,380.48,26.0
2025-11,Meta,1444413,30332673,808178,46392,465775680,322.47,31.0
2025-11,TikTok,2645943,52918860,715557,46224,692574192,261.75,57.0
2025-11,LINE,2567911,74469419,1319388,104132,1349863116,525.67,25.0
2025-12,Google,1934636,46431264,1020896,46068,407102916,210.43,42.0
2025-12,Yahoo,1451937,40654236,431565,24619,448533561,308.92,59.0
2025-12,Meta,1890530,26467420,330087,8602,91465066,48.38,220.0
2025-12,TikTok,1331460,34617960,466353,36128,678086432,509.28,37.0
2025-12,LINE,2529122,32878586,581984,37466,531005618,209.96,68.0
2026-01,Google,1890502,45372048,556773,38061,702986670,371.85,50.0
2026-01,Yahoo,1365144,39589176,526055,35901,666609768,488.31,38.0
2026-01,Meta,1479532,34029236,706492,52603,1042275842,704.46,28.0
2026-01,TikTok,2865926,60184446,1246122,77618,1090455282,380.49,37.0
2026-01,LINE,1229672,28282456,720000,29043,181373535,147.5,42.0
2026-02,Google,2507091,72705639,1176174,70019,1283448270,511.93,36.0
2026-02,Yahoo,1041486,17705262,182756,4938,44748156,42.97,211.0
2026-02,Meta,1814530,25403420,744128,37618,216717298,119.43,48.0
2026-02,TikTok,1554739,38868475,406678,20342,168452102,108.35,76.0
2026-02,LINE,2942752,82397056,1635868,65990,640762900,217.74,45.0
2026-03,Google,2230933,51311459,1285677,47467,724014151,324.53,47.0
2026-03,Yahoo,1714596,30862728,333631,9133,155955108,90.96,188.0
2026-03,Meta,1221478,28093994,475499,28186,365826094,299.49,43.0
2026-03,TikTok,2682931,64390344,1103962,60301,1162241474,433.2,44.0
2026-03,LINE,2582214,38733210,485855,11826,168745194,65.35,218.0
2026-04,Google,515141,9787679,179446,7738,124334184,241.36,67.0
2026-04,Yahoo,1074679,10746790,232866,5517,54016947,50.26,195.0
2026-04,Meta,2444741,66008007,1905737,42903,455715666,186.41,57.0
2026-04,TikTok,2431084,41328428,1173890,26940,344697300,141.79,90.0
2026-04,LINE,1013676,11150436,236350,4845,77253525,76.21,209.0
