RFMセグメント,チャネル,売上,広告費,離脱率,ROI
Champions,Google,640689,133298,0.204,4.81
Champions,Yahoo,733725,376600,0.246,1.95
Champions,Meta,3729449,924356,0.208,4.03
Champions,TikTok,2868524,908118,0.093,3.16
Champions,LINE,2005367,1482445,0.348,1.35
Loyal,Google,1146052,261298,0.232,4.39
Loyal,Yahoo,4518920,642301,0.202,7.04
Loyal,Meta,3488793,596409,0.308,5.85
Loyal,TikTok,2175125,362701,0.267,6.0
Loyal,LINE,3300212,230878,0.11,14.29
AtRisk,Google,4244795,764956,0.258,5.55
AtRisk,Yahoo,3393713,556610,0.265,6.1
AtRisk,Meta,3843473,1399942,0.327,2.75
AtRisk,TikTok,2509326,233726,0.101,10.74
AtRisk,LINE,4821613,790288,0.33,6.1
Lost,Google,4200568,503552,0.146,8.34
Lost,Yahoo,3689291,1166937,0.052,3.16
Lost,Meta,2069157,650104,0.143,3.18
Lost,TikTok,734295,716767,0.132,1.02
Lost,LINE,4030202,108798,0.305,37.04
New,Google,4400275,1402376,0.066,3.14
New,Yahoo,4053952,734493,0.284,5.52
New,Meta,1689297,1277970,0.209,1.32
New,TikTok,3817837,1422525,0.256,2.68
New,LINE,1591723,174280,0.094,9.13
